"Part";"Value";"Device";"Package";"Description";"COPYRIGHT";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"REFDES";"SPICEPREFIX";"TYPE";
"C1";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C2";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C3";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C4";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C5";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C6";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C7";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C8";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C9";"470p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C10";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C11";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C12";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C13";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C14";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C15";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C16";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C17";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C18";"1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C19";"10u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C20";"1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C21";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C22";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C23";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C24";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C25";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C26";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C27";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C28";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C29";"1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C30";"10u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"C31";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"73";"";"C";"";
"IC1";"OPA322";"OPA333DBV";"SOT23-5";"1.8V, microPOWER CMOS OPERATIONAL AMPLIFIERS Zerø-Drift Series";"";"";"";"";"";"";"";"0";"";"";"";
"IC2";"OPA322";"OPA333DBV";"SOT23-5";"1.8V, microPOWER CMOS OPERATIONAL AMPLIFIERS Zerø-Drift Series";"";"";"";"";"";"";"";"0";"";"";"";
"IC3";"OPA322";"OPA333DBV";"SOT23-5";"1.8V, microPOWER CMOS OPERATIONAL AMPLIFIERS Zerø-Drift Series";"";"";"";"";"";"";"";"0";"";"";"";
"IC4";"OPA322";"OPA333DBV";"SOT23-5";"1.8V, microPOWER CMOS OPERATIONAL AMPLIFIERS Zerø-Drift Series";"";"";"";"";"";"";"";"0";"";"";"";
"IC5";"OPA322";"OPA333DBV";"SOT23-5";"1.8V, microPOWER CMOS OPERATIONAL AMPLIFIERS Zerø-Drift Series";"";"";"";"";"";"";"";"0";"";"";"";
"R1";"3K6";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R2";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R3";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R4";"1K5";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R5";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R6";"10";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R7";"3K6";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R8";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R9";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R10";"1K5";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R11";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R12";"10";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R13";"18K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R14";"12k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R15";"12K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R16";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R17";"24K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R18";"18K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R19";"18K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R20";"10";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R22";"20K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R23";"12k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R24";"12K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R25";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R26";"24K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R27";"10";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R29";"665K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R30";"665K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R31";"665K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R32";"665K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R33";"665K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"R34";"665K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"R";"";
"SV1";"";"FE05-2";"FE05-2";"FEMALE HEADER";"";"";"";"";"";"unknown";"unknown";"3";"";"";"";
"U1";"AMC1311DWVR";"AMC1311DWVR";"DWV0008A";"";"Copyright (C) 2023 Ultra Librarian. All rights reserved.";"AMC1311DWVR";"";"Texas Instruments";"";"";"";"";"RefDes";"";"TYPE";
"U2";"MEE1S0505DC";"MEE1S0305DC";"MEE1S0305DC_MUR";"";"Copyright (C) 2023 Ultra Librarian. All rights reserved.";"MEE1S0305DC";"";"Murata";"";"";"";"";"";"";"";
"U3";"AMC1311DWVR";"AMC1311DWVR";"DWV0008A";"";"Copyright (C) 2023 Ultra Librarian. All rights reserved.";"AMC1311DWVR";"";"Texas Instruments";"";"";"";"";"RefDes";"";"TYPE";
"U4";"MEE1S0505DC";"MEE1S0305DC";"MEE1S0305DC_MUR";"";"Copyright (C) 2023 Ultra Librarian. All rights reserved.";"MEE1S0305DC";"";"Murata";"";"";"";"";"";"";"";
"X1";"1751248";"1751248";"1751248";"MKDS 1/ 2-3,5 Printklemme";"";"";"";"";"";"unknown";"unknown";"24";"";"";"";
"X2";"1751264";"1751264";"1751264";"MKDS 1/ 4-3,5 Printklemme";"";"";"";"";"1751264";"unknown";"10R0934";"9";"";"";"";
"X3";"1751264";"1751264";"1751264";"MKDS 1/ 4-3,5 Printklemme";"";"";"";"";"1751264";"unknown";"10R0934";"9";"";"";"";
"X4";"1751248";"1751248";"1751248";"MKDS 1/ 2-3,5 Printklemme";"";"";"";"";"";"unknown";"unknown";"24";"";"";"";
"X5";"1751248";"1751248";"1751248";"MKDS 1/ 2-3,5 Printklemme";"";"";"";"";"";"unknown";"unknown";"24";"";"";"";
